date,fund,company,ticker,cusip,shares,market value($),weight(%)
8/25/2021,ARKK,TESLA INC,TSLA,88160R101,3279477.0,2323476659.73,10.45
8/25/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,8616388.0,1250065571.04,5.62
8/25/2021,ARKK,ROKU INC,ROKU,77543R102,3292627.0,1174875166.14,5.28
8/25/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,4165494.0,1080029284.32,4.86
8/25/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,8326331.0,1041707271.41,4.69
8/25/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2832685.0,963821071.25,4.34
8/25/2021,ARKK,SQUARE INC - A,SQ,852234103,3280721.0,886352392.57,3.99
8/25/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,571751.0,879644631.01,3.96
8/25/2021,ARKK,TWILIO INC - A,TWLO,90138F102,2230276.0,793978256.0,3.57
8/25/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3405697.0,765873141.36,3.45
8/25/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,4271118.0,693330584.94,3.12
8/25/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,26177482.0,657054798.2,2.96
8/25/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,6568153.0,650772599.24,2.93
8/25/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,6589105.0,642503628.55,2.89
8/25/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,4917323.0,621844666.58,2.8
8/25/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,10085804.0,569545351.88,2.56
8/25/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,8483862.0,526508475.72,2.37
8/25/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,4879723.0,523838264.05,2.36
8/25/2021,ARKK,TWITTER INC,TWTR,90184L102,7575347.0,484670701.06,2.18
8/25/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,5641627.0,403545579.31,1.82
8/25/2021,ARKK,DOCUSIGN INC,DOCU,256163106,1347679.0,396204149.21,1.78
8/25/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2188427.0,370084889.97,1.66
8/25/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,7334908.0,340046334.88,1.53
8/25/2021,ARKK,INVITAE CORP,NVTA,46185L103,12241731.0,337871775.6,1.52
8/25/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,8128461.0,327658262.91,1.47
8/25/2021,ARKK,SEA LTD-ADR,SE,81141R100,928893.0,289814616.0,1.3
8/25/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,4281520.0,277099974.4,1.25
8/25/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,8427617.0,249457463.2,1.12
8/25/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,4802088.0,237127105.44,1.07
8/25/2021,ARKK,PAGERDUTY INC,PD,69553P100,5634817.0,234126646.35,1.05
8/25/2021,ARKK,TERADYNE INC,TER,880770102,1770349.0,206776763.2,0.93
8/25/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,1742204.0,199482358.0,0.9
8/25/2021,ARKK,2U INC,TWOU,90214J101,4878859.0,178810182.35,0.8
8/25/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7577770.0,172015379.0,0.77
8/25/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,4307092.0,155873659.48,0.7
8/25/2021,ARKK,TRIMBLE INC,TRMB,896239100,1645235.0,152447475.1,0.69
8/25/2021,ARKK,SKILLZ INC,SKLZ,83067L109,13432907.0,149105267.7,0.67
8/25/2021,ARKK,VERACYTE INC,VCYT,92337F107,3472560.0,145916971.2,0.66
8/25/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,2339981.0,141615650.12,0.64
8/25/2021,ARKK,PROTO LABS INC,PRLB,743713109,1737297.0,124286227.38,0.56
8/25/2021,ARKK,SOARING EAGLE ACQU - CL A,SRNG,G8354H126,10152405.0,101016429.75,0.45
8/25/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1667134.0,95776848.3,0.43
8/25/2021,ARKK,STRATASYS LTD,SSYS,M85548101,3921515.0,83371408.9,0.38
8/25/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,3493124.0,77023384.2,0.35
8/25/2021,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,3030445.0,78549134.4,0.35
8/25/2021,ARKK,CERUS CORP,CERS,157085101,11545394.0,72043258.56,0.32
8/25/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,6074131.0,40514453.77,0.18
8/25/2021,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,2133821.0,13315043.04,0.06
8/25/2021,ARKQ,TESLA INC,TSLA,88160R101,456807.0,323643191.43,11.86
8/25/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2184524.0,202417993.84,7.42
8/25/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,7262910.0,167555333.7,6.14
